,站點,城市,aqi
0,屏東(枋山),屏東縣,16
1,大甲（日南國小）,臺中市,12
2,新北(樹林),新北市,35
3,屏東（琉球）,屏東縣,28
4,臺南（麻豆）,臺南市,34
5,高雄（湖內）,高雄市,29
6,彰化（員林）,彰化縣,29
7,大城,彰化縣,25
8,富貴角,新北市,15
9,麥寮,雲林縣,21
10,關山,臺東縣,14
11,馬公,澎湖縣,23
12,金門,金門縣,21
13,馬祖,連江縣,44
14,埔里,南投縣,37
15,復興,高雄市,34
16,永和,新北市,30
17,竹山,南投縣,23
18,中壢,桃園市,42
19,三重,新北市,40
20,冬山,宜蘭縣,25
21,宜蘭,宜蘭縣,15
22,陽明,臺北市,10
23,花蓮,花蓮縣,11
24,臺東,臺東縣,8
25,恆春,屏東縣,12
26,潮州,屏東縣,29
27,屏東,屏東縣,29
28,小港,高雄市,34
29,前鎮,高雄市,29
30,前金,高雄市,30
31,左營,高雄市,47
32,楠梓,高雄市,40
33,林園,高雄市,36
34,大寮,高雄市,45
35,鳳山,高雄市,30
36,仁武,高雄市,41
37,橋頭,高雄市,34
38,美濃,高雄市,23
39,臺南,臺南市,42
40,安南,臺南市,29
41,善化,臺南市,31
42,新營,臺南市,32
43,嘉義,嘉義市,24
44,臺西,雲林縣,31
45,朴子,嘉義縣,31
46,新港,嘉義縣,40
47,崙背,雲林縣,40
48,斗六,雲林縣,24
49,南投,南投縣,16
50,二林,彰化縣,40
51,線西,彰化縣,23
52,彰化,彰化縣,16
53,西屯,臺中市,24
54,忠明,臺中市,16
55,大里,臺中市,16
56,沙鹿,臺中市,21
57,豐原,臺中市,13
58,三義,苗栗縣,11
59,苗栗,苗栗縣,12
60,頭份,苗栗縣,21
61,新竹,新竹市,19
62,竹東,新竹縣,18
63,湖口,新竹縣,26
64,龍潭,桃園市,18
65,平鎮,桃園市,22
66,觀音,桃園市,30
67,大園,桃園市,19
68,桃園,桃園市,27
69,大同,臺北市,46
70,松山,臺北市,17
71,古亭,臺北市,24
72,萬華,臺北市,28
73,中山,臺北市,31
74,士林,臺北市,26
75,淡水,新北市,22
76,林口,新北市,23
77,菜寮,新北市,24
78,新莊,新北市,28
79,板橋,新北市,23
80,土城,新北市,34
81,新店,新北市,31
82,萬里,新北市,12
83,汐止,新北市,22
84,基隆,基隆市,13
85,屏東(枋山),屏東縣,15
86,大甲（日南國小）,臺中市,10
87,新北(樹林),新北市,35
88,屏東（琉球）,屏東縣,29
89,臺南（麻豆）,臺南市,31
90,高雄（湖內）,高雄市,28
91,彰化（員林）,彰化縣,28
92,大城,彰化縣,23
93,富貴角,新北市,14
94,麥寮,雲林縣,21
95,關山,臺東縣,14
96,馬公,澎湖縣,23
97,金門,金門縣,21
98,馬祖,連江縣,44
99,埔里,南投縣,36
100,復興,高雄市,31
101,永和,新北市,31
102,竹山,南投縣,24
103,中壢,桃園市,35
104,三重,新北市,32
105,冬山,宜蘭縣,25
106,宜蘭,宜蘭縣,16
107,陽明,臺北市,9
108,花蓮,花蓮縣,15
109,臺東,臺東縣,7
110,恆春,屏東縣,12
111,潮州,屏東縣,30
112,屏東,屏東縣,28
113,小港,高雄市,33
114,前鎮,高雄市,30
115,前金,高雄市,30
116,左營,高雄市,46
117,楠梓,高雄市,38
118,林園,高雄市,38
119,大寮,高雄市,44
120,鳳山,高雄市,23
121,仁武,高雄市,38
122,橋頭,高雄市,36
123,美濃,高雄市,23
124,臺南,臺南市,41
125,安南,臺南市,31
126,善化,臺南市,27
127,新營,臺南市,33
128,嘉義,嘉義市,24
129,臺西,雲林縣,30
130,朴子,嘉義縣,31
131,新港,嘉義縣,43
132,崙背,雲林縣,39
133,斗六,雲林縣,23
134,南投,南投縣,18
135,二林,彰化縣,41
136,線西,彰化縣,21
137,彰化,彰化縣,14
138,西屯,臺中市,23
139,忠明,臺中市,15
140,大里,臺中市,14
141,沙鹿,臺中市,21
142,豐原,臺中市,11
143,三義,苗栗縣,10
144,苗栗,苗栗縣,10
145,頭份,苗栗縣,20
146,新竹,新竹市,16
147,竹東,新竹縣,19
148,湖口,新竹縣,25
149,龍潭,桃園市,19
150,平鎮,桃園市,19
151,觀音,桃園市,32
152,大園,桃園市,21
153,桃園,桃園市,31
154,大同,臺北市,42
155,松山,臺北市,18
156,古亭,臺北市,26
157,萬華,臺北市,24
158,中山,臺北市,31
159,士林,臺北市,27
160,淡水,新北市,23
161,林口,新北市,25
162,菜寮,新北市,23
163,新莊,新北市,32
164,板橋,新北市,27
165,土城,新北市,37
166,新店,新北市,33
167,萬里,新北市,10
168,汐止,新北市,27
169,基隆,基隆市,16
170,屏東(枋山),屏東縣,15
171,大甲（日南國小）,臺中市,10
172,新北(樹林),新北市,31
173,屏東（琉球）,屏東縣,28
174,臺南（麻豆）,臺南市,30
175,高雄（湖內）,高雄市,27
176,彰化（員林）,彰化縣,24
177,大城,彰化縣,23
178,富貴角,新北市,14
179,麥寮,雲林縣,20
180,關山,臺東縣,14
181,馬公,澎湖縣,24
182,金門,金門縣,19
183,馬祖,連江縣,40
184,埔里,南投縣,33
185,復興,高雄市,29
186,永和,新北市,33
187,竹山,南投縣,25
188,中壢,桃園市,33
189,三重,新北市,27
190,冬山,宜蘭縣,23
191,宜蘭,宜蘭縣,16
192,陽明,臺北市,9
193,花蓮,花蓮縣,11
194,臺東,臺東縣,6
195,恆春,屏東縣,12
196,潮州,屏東縣,29
197,屏東,屏東縣,31
198,小港,高雄市,31
199,前鎮,高雄市,29
200,前金,高雄市,28
201,左營,高雄市,43
202,楠梓,高雄市,34
203,林園,高雄市,38
204,大寮,高雄市,42
205,鳳山,高雄市,22
206,仁武,高雄市,37
207,橋頭,高雄市,36
208,美濃,高雄市,26
209,臺南,臺南市,39
210,安南,臺南市,31
211,善化,臺南市,24
212,新營,臺南市,34
213,嘉義,嘉義市,24
214,臺西,雲林縣,31
215,朴子,嘉義縣,32
216,新港,嘉義縣,43
217,崙背,雲林縣,37
218,斗六,雲林縣,24
219,南投,南投縣,18
220,二林,彰化縣,43
221,線西,彰化縣,26
222,彰化,彰化縣,15
223,西屯,臺中市,23
224,忠明,臺中市,14
225,大里,臺中市,12
226,沙鹿,臺中市,23
227,豐原,臺中市,11
228,三義,苗栗縣,11
229,苗栗,苗栗縣,10
230,頭份,苗栗縣,22
231,新竹,新竹市,15
232,竹東,新竹縣,19
233,湖口,新竹縣,26
234,龍潭,桃園市,20
235,平鎮,桃園市,19
236,觀音,桃園市,34
237,大園,桃園市,22
238,桃園,桃園市,35
239,大同,臺北市,39
240,松山,臺北市,17
241,古亭,臺北市,25
242,萬華,臺北市,26
243,中山,臺北市,31
244,士林,臺北市,25
245,淡水,新北市,21
246,林口,新北市,27
247,菜寮,新北市,24
248,新莊,新北市,37
249,板橋,新北市,30
250,土城,新北市,36
251,新店,新北市,37
252,萬里,新北市,10
253,汐止,新北市,29
254,基隆,基隆市,18
255,屏東(枋山),屏東縣,14
256,大甲（日南國小）,臺中市,10
257,新北(樹林),新北市,31
258,屏東（琉球）,屏東縣,28
259,臺南（麻豆）,臺南市,27
260,高雄（湖內）,高雄市,25
261,彰化（員林）,彰化縣,23
262,大城,彰化縣,21
263,富貴角,新北市,16
264,麥寮,雲林縣,20
265,關山,臺東縣,13
266,馬公,澎湖縣,26
267,金門,金門縣,19
268,馬祖,連江縣,33
269,埔里,南投縣,32
270,復興,高雄市,27
271,永和,新北市,32
272,竹山,南投縣,24
273,中壢,桃園市,33
274,三重,新北市,29
275,冬山,宜蘭縣,23
276,宜蘭,宜蘭縣,16
277,陽明,臺北市,11
278,花蓮,花蓮縣,11
279,臺東,臺東縣,7
280,恆春,屏東縣,12
281,潮州,屏東縣,28
282,屏東,屏東縣,31
283,小港,高雄市,27
284,前鎮,高雄市,30
285,前金,高雄市,28
286,左營,高雄市,43
287,楠梓,高雄市,32
288,林園,高雄市,35
289,大寮,高雄市,41
290,鳳山,高雄市,21
291,仁武,高雄市,35
292,橋頭,高雄市,36
293,美濃,高雄市,27
294,臺南,臺南市,31
295,安南,臺南市,32
296,善化,臺南市,23
297,新營,臺南市,31
298,嘉義,嘉義市,25
299,臺西,雲林縣,32
300,朴子,嘉義縣,31
301,新港,嘉義縣,43
302,崙背,雲林縣,34
303,斗六,雲林縣,24
304,南投,南投縣,18
305,二林,彰化縣,45
306,線西,彰化縣,16
307,彰化,彰化縣,14
308,西屯,臺中市,21
309,忠明,臺中市,14
310,大里,臺中市,11
311,沙鹿,臺中市,20
312,豐原,臺中市,11
313,三義,苗栗縣,12
314,苗栗,苗栗縣,10
315,頭份,苗栗縣,23
316,新竹,新竹市,17
317,竹東,新竹縣,19
318,湖口,新竹縣,29
319,龍潭,桃園市,20
320,平鎮,桃園市,20
321,觀音,桃園市,35
322,大園,桃園市,23
323,桃園,桃園市,36
324,大同,臺北市,41
325,松山,臺北市,19
326,古亭,臺北市,22
327,萬華,臺北市,25
328,中山,臺北市,32
329,士林,臺北市,26
330,淡水,新北市,20
331,林口,新北市,27
332,菜寮,新北市,27
333,新莊,新北市,40
334,板橋,新北市,34
335,土城,新北市,35
336,新店,新北市,37
337,萬里,新北市,12
338,汐止,新北市,28
339,基隆,基隆市,17
340,屏東(枋山),屏東縣,14
341,大甲（日南國小）,臺中市,12
342,新北(樹林),新北市,32
343,屏東（琉球）,屏東縣,24
344,臺南（麻豆）,臺南市,28
345,高雄（湖內）,高雄市,27
346,彰化（員林）,彰化縣,23
347,大城,彰化縣,18
348,富貴角,新北市,17
349,麥寮,雲林縣,19
350,關山,臺東縣,15
351,馬公,澎湖縣,27
352,金門,金門縣,20
353,馬祖,連江縣,27
354,埔里,南投縣,32
355,復興,高雄市,25
356,永和,新北市,33
357,竹山,南投縣,24
358,中壢,桃園市,35
359,三重,新北市,31
360,冬山,宜蘭縣,23
361,宜蘭,宜蘭縣,16
362,陽明,臺北市,11
363,花蓮,花蓮縣,11
364,臺東,臺東縣,7
365,恆春,屏東縣,11
366,潮州,屏東縣,28
367,屏東,屏東縣,30
368,小港,高雄市,24
369,前鎮,高雄市,28
370,前金,高雄市,28
371,左營,高雄市,42
372,楠梓,高雄市,30
373,林園,高雄市,31
374,大寮,高雄市,36
375,鳳山,高雄市,20
376,仁武,高雄市,35
377,橋頭,高雄市,35
378,美濃,高雄市,28
379,臺南,臺南市,29
380,安南,臺南市,32
381,善化,臺南市,24
382,新營,臺南市,31
383,嘉義,嘉義市,25
384,臺西,雲林縣,26
385,朴子,嘉義縣,34
386,新港,嘉義縣,41
387,崙背,雲林縣,31
388,斗六,雲林縣,24
389,南投,南投縣,18
390,二林,彰化縣,47
391,線西,彰化縣,14
392,彰化,彰化縣,15
393,西屯,臺中市,20
394,忠明,臺中市,15
395,大里,臺中市,13
396,沙鹿,臺中市,22
397,豐原,臺中市,12
398,三義,苗栗縣,11
399,苗栗,苗栗縣,10
400,頭份,苗栗縣,22
401,新竹,新竹市,20
402,竹東,新竹縣,22
403,湖口,新竹縣,30
404,龍潭,桃園市,20
405,平鎮,桃園市,23
406,觀音,桃園市,35
407,大園,桃園市,25
408,桃園,桃園市,38
409,大同,臺北市,39
410,松山,臺北市,20
411,古亭,臺北市,23
412,萬華,臺北市,26
413,中山,臺北市,33
414,士林,臺北市,27
415,淡水,新北市,19
416,林口,新北市,27
417,菜寮,新北市,30
418,新莊,新北市,40
419,板橋,新北市,36
420,土城,新北市,34
421,新店,新北市,39
422,萬里,新北市,13
423,汐止,新北市,30
424,基隆,基隆市,16
425,屏東(枋山),屏東縣,14
426,大甲（日南國小）,臺中市,13
427,新北(樹林),新北市,36
428,屏東（琉球）,屏東縣,24
429,臺南（麻豆）,臺南市,29
430,高雄（湖內）,高雄市,27
431,彰化（員林）,彰化縣,23
432,大城,彰化縣,21
433,富貴角,新北市,18
434,麥寮,雲林縣,17
435,關山,臺東縣,15
436,馬公,澎湖縣,28
437,金門,金門縣,23
438,馬祖,連江縣,28
439,埔里,南投縣,36
440,復興,高雄市,27
441,永和,新北市,35
